Tanggal Penjualan;Nama Customer;Usia;Gender;Pekerjaan;Event;Nama Produk;Kategori Produk;Jumlah;Satuan;Merk;Harga Produk;Total Harga
02-Jan-25;Adit;37;Laki-laki;Karyawan Swasta;Weekday;Regulator;Peralatan Dapur;1;Pcs;Winn Gas;80.000;80.000
02-Jan-25;Nicholas;36;Laki-laki;Karyawan Swasta;Weekday;Regulator;Peralatan Dapur;1;Pcs;Hipro;70.000;70.000
02-Jan-25;Maya;39;Perempuan;Ibu Rumah Tangga;Weekday;Sendok ;Peralatan Dapur;1;Lusin;Diamond;15.000;15.000
02-Jan-25;Siti;22;Perempuan;Pelajar/Mahasiswa;Weekday;Sikat;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;10.000;10.000
02-Jan-25;Adit;47;Laki-laki;Pekerja Pabrik;Weekday;Selang;Perkakas;6;Meter;Tidak Ada Merk;20.000;120.000
02-Jan-25;Joko;44;Laki-laki;Pekerja Pabrik;Weekday;Sikat;Perlengkapan Rumah;6;Pcs;Tidak Ada Merk;10.000;60.000
02-Jan-25;Budi;37;Laki-laki;Karyawan Swasta;Weekday;Sumbu Kompor;Peralatan Dapur;3;Bungkus;Hock;15.000;45.000
02-Jan-25;Samsul;37;Laki-laki;Karyawan Swasta;Weekday;Tampi;Peralatan Dapur;2;Pcs;Manau;15.000;30.000
02-Jan-25;Siti;32;Perempuan;Ibu Rumah Tangga;Weekday;Taplak Meja;Peralatan Dapur;2;Pcs;Tidak Ada Merk;14.000;28.000
02-Jan-25;Desi;24;Perempuan;Pegawai Kantor;Weekday;Stop Kontak ;Elektronik;1;Pcs;Visalux;20.000;20.000
02-Jan-25;Adit;37;Laki-laki;Karyawan Swasta;Weekday;Taplak Meja;Peralatan Dapur;2;Pcs;Tidak Ada Merk;14000;25200
02-Jan-25;Yulia;40;Perempuan;Ibu Rumah Tangga;Weekday;Tampi;Peralatan Dapur;2;Pcs;Manau;10000;20000
02-Jan-25;Reyhan;31;Laki-laki;Pengusaha;Weekday;Kuningan Kompor;Peralatan Dapur;1;Pcs;Rinnai;35000;35000
02-Jan-25;Ayu;41;Perempuan;Pekerja Pabrik;Weekday;Selang;Perlengkapan Rumah;2;Meter;Tidak Ada Merk;8000;96000
02-Jan-25;Gunawan;43;Laki-laki;Pekerja Pabrik;Weekday;Regulator;Peralatan Dapur;1;Pcs;Hipro;70000;70000
02-Jan-25;Yulianto;21;Laki-laki;Pelajar/Mahasiswa;Weekday;Regulator;Peralatan Dapur;1;Pcs;Hipro;70000;70000
02-Jan-25;Cahyono;42;Laki-laki;Karyawan Swasta;Weekday;Sumbu Kompor;Peralatan Dapur;2;Meter;Hock;1000;5000
02-Jan-25;Ardi;26;Laki-laki;Pegawai Kantor;Weekday;Sikat;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;3000;3000
02-Jan-25;Ridwan;32;Laki-laki;Supir/Ojek Online;Weekday;Karpet;Perlengkapan Rumah;3;Meter;Jordan;12000;108000
03-Jan-25;Rida;30;Perempuan;Ibu Rumah Tangga;Weekday;Baskom;Peralatan Dapur;1;Meter;GM;20.000;20.000
03-Jan-25;Tia;25;Perempuan;Pegawai Kantor;Weekday;Fitting;Elektronik;5;Pcs;Visalux;10.000;50.000
03-Jan-25;Hendra;34;Laki-laki;Teknisi;Weekday;Isolasi;Elektronik;5;Pcs;Vini Tape;5.000;25.000
03-Jan-25;Teguh;42;Laki-laki;Pekerja Pabrik;Weekday;Celengan ;Souvenir;12;Pcs;Tidak Ada Merk;5.000;60.000
03-Jan-25;Hendra;42;Laki-laki;Pekerja Pabrik;Weekday;Karpet ;Perlengkapan Rumah;2;Pcs;Jordan;30.000;60.000
03-Jan-25;Gilang;34;Laki-laki;Karyawan Swasta;Weekday;Karpet ;Peralatan Dapur;2;Meter;Tidak Ada Merk;25.000;50.000
03-Jan-25;Ardi;32;Laki-laki;Karyawan Swasta;Weekday;Keset Kaki;Peralatan Dapur;2;Pcs;Tidak Ada Merk;15.000;30.000
03-Jan-25;Fani;30;Perempuan;Ibu Rumah Tangga;Weekday;Sapu;Peralatan Dapur;1;Pcs;Sunny;25.000;25.000
03-Jan-25;Dita;40;Perempuan;Ibu Rumah Tangga;Weekday;Sendok;Peralatan Dapur;2;Lusin;HS;10.000;20.000
03-Jan-25;Eko;35;Laki-laki;Karyawan Swasta;Weekday;Toples;Peralatan Dapur;2;Pcs;Shinpo;25.000;50.000
03-Jan-25;Bella;38;Perempuan;Ibu Rumah Tangga;Weekday;Taplak Meja;Peralatan Dapur;4;Pcs;Tidak Ada Merk;14.000;56.000
03-Jan-25;Samsul;40;Laki-laki;Pekerja Pabrik;Weekday;Tas ;Perlengkapan Rumah;2;Pcs;Tidak Ada Merk;25.000;50.000
03-Jan-25;Dira;32;Perempuan;Ibu Rumah Tangga;Weekday;Tudung Saji ;Peralatan Dapur;1;Pcs;Lion Star;35.000;35.000
03-Jan-25;Lina;31;Perempuan;Supir/Ojek Online;Weekday;Celengan;Souvenir;1;Pcs;Tidak Ada Merk;5000;5000
03-Jan-25;Ratna;21;Perempuan;Pelajar/Mahasiswa;Weekday;Isolasi;Elektronik;1;Roll;Vini Tape;5000;5000
03-Jan-25;Fitri;22;Perempuan;Pelajar/Mahasiswa;Weekday;Keset Kaki;Peralatan Dapur;2;Pcs;Tidak Ada Merk;7000;14000
03-Jan-25;Sari;20;Perempuan;Pelajar/Mahasiswa;Weekday;Solet;Peralatan Dapur;2;Pcs;Tidak Ada Merk;5000;10000
03-Jan-25;Indah;39;Perempuan;Pekerja Pabrik;Weekday;Fitting;Elektronik;1;Pcs;Visalux;4000;4000
03-Jan-25;Dewi;25;Perempuan;Pegawai Kantor;Weekday;Karpet;Peralatan Dapur;2;Meter;Tidak Ada Merk;12000;24000
03-Jan-25;Maya;39;Perempuan;Ibu Rumah Tangga;Weekday;Taplak Meja;Peralatan Dapur;4;Pcs;Tidak Ada Merk;14000;56000
04-Jan-25;Fauzan;41;Laki-laki;Pekerja Pabrik;Weekend;Celengan;Souvenir;12;Pcs;Tidak Ada Merk;5.000;60.000
04-Jan-25;Desi;37;Perempuan;Ibu Rumah Tangga;Weekday;Baskom ;Peralatan Dapur;1;Roll;GM;20.000;20.000
04-Jan-25;Joko;34;Laki-laki;Teknisi;Weekend;Kabel ;Elektronik;5;Pcs;Tidak Ada Merk;5.000;25.000
04-Jan-25;Surya;42;Laki-laki;Karyawan Swasta;Weekday;Panci ;Peralatan Dapur;1;Pcs;Muliya;55.000;55.000
04-Jan-25;Yulia;40;Perempuan;Ibu Rumah Tangga;Weekday;Sapu ;Peralatan Dapur;1;Pcs;Nagata;45.000;45.000
04-Jan-25;Fajar;41;Laki-laki;Pekerja Pabrik;Weekday;Sarung Tangan;Perkakas;12;Meter;Tidak Ada Merk;10.000;120.000
04-Jan-25;Lestari;30;Perempuan;Ibu Rumah Tangga;Weekend;Sendok;Peralatan Dapur;2;Lusin;HS;10.000;20.000
04-Jan-25;Dini;43;Perempuan;Ibu Rumah Tangga;Weekend;Sendok ;Peralatan Dapur;3;Lusin;HS;10.000;30.000
04-Jan-25;Yusuf;37;Laki-laki;Pengusaha;Weekend;Sendok;Peralatan Dapur;2;Lsn;HS;10000;20000
04-Jan-25;Yanti;38;Perempuan;Karyawan Swasta;Weekend;Kabel;Elektronik;3;Meter;Tidak Ada Merk;4000;20000
04-Jan-25;Melati;35;Perempuan;Pegawai Kantor;Weekend;Panci;Peralatan Dapur;1;Pcs;Muliya;100000;100000
04-Jan-25;Nur;42;Perempuan;Pekerja Pabrik;Weekend;Sendok;Peralatan Dapur;3;Lsn;HS;10000;30000
05-Jan-25;Hendra;34;Laki-laki;Teknisi;Weekend;Isolasi;Elektronik;5;Pcs;Vini Tape;5.000;25.000
05-Jan-25;Rizky;30;Perempuan;Ibu Rumah Tangga;Weekend;Ember;Peralatan Dapur;1;Pcs;GM;50.000;50.000
05-Jan-25;Heri;34;Laki-laki;Karyawan Swasta;Weekend;Botol Kecap;Peralatan Dapur;3;Pcs;Lion Star;10.000;30.000
05-Jan-25;Adit;37;Laki-laki;Karyawan Swasta;Weekend;Box Donat;Peralatan Dapur;2;Lusin;Shinpo;30.000;60.000
05-Jan-25;Agus;35;Laki-laki;Teknisi;Weekend;Kabel;Elektronik;5;Pcs;Tonn;5.000;25.000
05-Jan-25;Rina;31;Perempuan;Ibu Rumah Tangga;Weekend;Gayung;Peralatan Dapur;1;Pcs;Lion Star;10.000;10.000
05-Jan-25;Arif;33;Laki-laki;Teknisi;Weekend;Kabel;Elektronik;10;Pcs;Tonn;5.000;50.000
05-Jan-25;Eka;30;Perempuan;Ibu Rumah Tangga;Weekend;Keset Kaki;Peralatan Dapur;4;Pcs;Tidak Ada Merk;7.000;28.000
05-Jan-25;Lestari;30;Perempuan;Ibu Rumah Tangga;Weekend;Pisau;Peralatan Dapur;1;Bungkus;Dong Fang;15.000;15.000
05-Jan-25;Bila;20;Perempuan;Pelajar/Mahasiswa;Weekend;Kran;Perkakas;1;Pcs;Dcota;20.000;20.000
05-Jan-25;Irfan;35;Laki-laki;Karyawan Swasta;Weekend;Jepitan Bakaran;Peralatan Dapur;1;Pcs;Tidak Ada Merk;60.000;60.000
05-Jan-25;Banu;42;Laki-laki;Pekerja Pabrik;Weekend;Klem;Perkakas;4;Bungkus;Tidak Ada Merk;15.000;60.000
05-Jan-25;Fauzan;40;Laki-laki;Karyawan Swasta;Weekend;Kuningan Kompor;Peralatan Dapur;2;Pcs;rinnai;20.000;40.000
05-Jan-25;Cahyono;32;Laki-laki;Teknisi;Weekend;Lampu LED;Elektronik;2;Pcs;Potens;30.000;60.000
05-Jan-25;Citra;20;Perempuan;Pelajar/Mahasiswa;Weekend;Lem Lilin;Perkakas;3;Botol;Tidak Ada Merk;5.000;15.000
05-Jan-25;Ridwan;40;Laki-laki;Karyawan Swasta;Weekend;Panci;Peralatan Dapur;1;Pcs;Muliya;55.000;55.000
05-Jan-25;Bambang;43;Laki-laki;Pekerja Pabrik;Weekend;Kran ;Perkakas;3;Pcs;Tidak Ada Merk;20.000;60.000
05-Jan-25;Wulan;19;Perempuan;Pelajar/Mahasiswa;Weekend;Paku;Perkakas;1;Bungkus;Tidak Ada Merk;20.000;20.000
05-Jan-25;Nicholas;44;Laki-laki;Pekerja Pabrik;Weekend;Kran ;Perkakas;2;Pcs;Dcota;25.000;50.000
05-Jan-25;Ratna;21;Perempuan;Pelajar/Mahasiswa;Weekend;Payung ;Perlengkapan Rumah;1;Roll;Tidak Ada Merk;15.000;15.000
05-Jan-25;Gina;19;Perempuan;Pelajar/Mahasiswa;Weekend;Pot;Perlengkapan Rumah;1;Pcs;CJP;25.000;25.000
05-Jan-25;Arfin;41;Laki-laki;Pekerja Pabrik;Weekend;Mata Gerinda;Perkakas;4;Pcs;Tidak Ada Merk;15.000;60.000
05-Jan-25;Budi;45;Laki-laki;Pekerja Pabrik;Weekend;Paku;Perkakas;4;Bungkus;Tidak Ada Merk;15.000;60.000
05-Jan-25;Lina;46;Perempuan;Ibu Rumah Tangga;Weekend;Sapu ;Peralatan Dapur;1;Pcs;Shun Hong;25.000;25.000
05-Jan-25;Budi;45;Laki-laki;Pekerja Pabrik;Weekend;Polybag;Perlengkapan Rumah;6;Bungkus;Tidak Ada Merk;20.000;120.000
05-Jan-25;Nicholas;44;Laki-laki;Pekerja Pabrik;Weekend;Pot;Perlengkapan Rumah;3;Bungkus;GM;25.000;75.000
05-Jan-25;Fauzan;41;Laki-laki;Pekerja Pabrik;Weekend;Pot;Perlengkapan Rumah;3;Pcs;CJP;25.000;75.000
05-Jan-25;Bambang;43;Laki-laki;Pekerja Pabrik;Weekend;Pot;Perlengkapan Rumah;3;Pcs;CJP;25.000;75.000
05-Jan-25;Dinia;32;Perempuan;Ibu Rumah Tangga;Weekend;Sapu ;Peralatan Dapur;1;Pcs;Shun Hong;25.000;25.000
05-Jan-25;Andi;35;Laki-laki;Karyawan Swasta;Weekend;Sapu;Peralatan Dapur;2;Pcs;Tidak Ada Merk;15.000;30.000
05-Jan-25;Dina;19;Perempuan;Pelajar/Mahasiswa;Weekend;Seal Tape;Perkakas;5;Pcs;Dcota;5.000;25.000
05-Jan-25;Surya;45;Laki-laki;Pekerja Pabrik;Weekend;Sapu;Perlengkapan Rumah;3;Pcs;Tidak Ada Merk;20.000;60.000
05-Jan-25;Desi;21;Perempuan;Pelajar/Mahasiswa;Weekend;Sekam;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;10.000;10.000
05-Jan-25;Bambang;33;Laki-laki;Teknisi;Weekend;Plug;Elektronik;1;Pcs;Visalux;20.000;20.000
05-Jan-25;Nur;23;Perempuan;Pelajar/Mahasiswa;Weekend;Sekam;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;10.000;10.000
05-Jan-25;Dina;19;Perempuan;Pelajar/Mahasiswa;Weekend;Sikat ;Perlengkapan Rumah;1;Pcs;Dato;10.000;10.000
05-Jan-25;Wulan;19;Perempuan;Pelajar/Mahasiswa;Weekend;Tanah Campur;Perlengkapan Rumah;1;Bungkus;Tidak Ada Merk;20.000;20.000
05-Jan-25;Dina;40;Perempuan;Ibu Rumah Tangga;Weekend;Tanah Campur;Pupuk;1;Pcs;Tidak Ada Merk;35.000;35.000
05-Jan-25;Citra;30;Perempuan;Ibu Rumah Tangga;Weekend;Tempat Bakaran ;Peralatan Dapur;1;Pcs;Tidak Ada Merk;35.000;35.000
05-Jan-25;Fauzan;30;Laki-laki;Supir/Ojek Online;Weekend;Jas Hujan;Perlengkapan Rumah;1;Bks;Tidak Ada Merk;8000;8000
05-Jan-25;Heri;21;Laki-laki;Pelajar/Mahasiswa;Weekend;Kuningan Kompor;Peralatan Dapur;2;Pcs;rinnai;20000;40000
05-Jan-25;Reni;30;Perempuan;Supir/Ojek Online;Weekend;Lampu LED;Elektronik;2;Pcs;Pot;22000;44000
05-Jan-25;Reyhan;31;Laki-laki;Pengusaha;Weekend;Toples;Peralatan Dapur;1;Pcs;Shinpo;40000;40000
05-Jan-25;Gunawan;43;Laki-laki;Pekerja Pabrik;Weekend;Sapu;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;13000;13000
05-Jan-25;Rina;31;Perempuan;Pegawai Kantor;Weekend;Paku;Perlengkapan Rumah;1;Bks;Tidak Ada Merk;2000;2000
05-Jan-25;Joko;34;Laki-laki;Pengusaha;Weekend;Kran;Perlengkapan Rumah;1;Pcs;Dcota;60000;60000
05-Jan-25;Hendra;38;Laki-laki;Karyawan Swasta;Weekend;Ember;Peralatan Dapur;1;Pcs;Tong Kuat;100000;100000
05-Jan-25;Yosef;37;Laki-laki;Pengusaha;Weekend;Panci;Peralatan Dapur;1;Pcs;Muliya;40000;40000
05-Jan-25;Cahyono;42;Laki-laki;Karyawan Swasta;Weekend;Sapu;Peralatan Dapur;1;Pcs;Tidak Ada Merk;15000;15000
05-Jan-25;Dewi;25;Perempuan;Pegawai Kantor;Weekend;Lampu LED;Elektronik;2;Pcs;Pot;22000;44000
05-Jan-25;Bagas;43;Laki-laki;Pekerja Pabrik;Weekend;Payung;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;45000;45000
05-Jan-25;Irfan;22;Laki-laki;Pegawai Kantor;Weekend;Klem Selang;Perlengkapan Rumah;3;Pcs;Tidak Ada Merk;2000;6000
06-Jan-25;Samsul;37;Laki-laki;Karyawan Swasta;Weekend;Ember;Peralatan Dapur;1;Pcs;Lion Star;55.000;55.000
06-Jan-25;Wulan;27;Perempuan;Pegawai Kantor;Weekend;Kabel;Elektronik;5;Pcs;Tonn;5.000;25.000
06-Jan-25;Joko;34;Laki-laki;Teknisi;Weekend;Kabel;Elektronik;10;Pcs;Tonn;5.000;50.000
06-Jan-25;Andi;35;Laki-laki;Karyawan Swasta;Weekday;Kuningan Kompor;Peralatan Dapur;2;Pcs;rinnai;20.000;40.000
06-Jan-25;Eko;45;Laki-laki;Pekerja Pabrik;Weekday;Polybag;Perlengkapan Rumah;6;Bungkus;Tidak Ada Merk;20.000;120.000
06-Jan-25;Gilang;41;Laki-laki;Pekerja Pabrik;Weekday;Pot;Perlengkapan Rumah;3;Kg;GM;25.000;75.000
06-Jan-25;Nur;34;Perempuan;Ibu Rumah Tangga;Weekday;Sapu ;Peralatan Dapur;1;Goni;Shun Hong;25.000;25.000
06-Jan-25;Dani;42;Laki-laki;Pekerja Pabrik;Weekday;Sapu;Perlengkapan Rumah;3;Meter;Tidak Ada Merk;20.000;60.000
06-Jan-25;Samsul;40;Laki-laki;Pekerja Pabrik;Weekend;Tanah Campur;Perlengkapan Rumah;3;Pcs;Tidak Ada Merk;20.000;60.000
06-Jan-25;Gunawan;33;Laki-laki;Karyawan Swasta;Weekday;Serbet;Peralatan Dapur;1;Pcs;Aneka Produksi;15.000;15.000
06-Jan-25;Indah;22;Perempuan;Pelajar/Mahasiswa;Weekend;Tanah Campur;Perlengkapan Rumah;1;Bungkus;Tidak Ada Merk;20.000;20.000
06-Jan-25;Sari;20;Perempuan;Pelajar/Mahasiswa;Weekday;Sapu;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;13000;13000
06-Jan-25;Maya;39;Perempuan;Ibu Rumah Tangga;Weekday;Pot;Perlengkapan Rumah;1;Pcs;GM;40000;40000
06-Jan-25;Lestari;37;Perempuan;Karyawan Swasta;Weekday;Kabel;Elektronik;3;Meter;Tonn;5000;25000
06-Jan-25;Lina;31;Perempuan;Supir/Ojek Online;Weekday;Tanah Campur;Perlengkapan Rumah;1;Goni;Tidak Ada Merk;17000;17000
06-Jan-25;Indah;39;Perempuan;Pekerja Pabrik;Weekday;Polybag;Perlengkapan Rumah;2;Kg;Tidak Ada Merk;25000;12500
06-Jan-25;Wulan;19;Perempuan;Pelajar/Mahasiswa;Weekday;Kabel;Elektronik;4;Meter;Tonn;5000;25000
07-Jan-25;Hendra;38;Laki-laki;Karyawan Swasta;Weekday;Baskom;Peralatan Dapur;1;Pcs;GM;35.000;35.000
07-Jan-25;Ratna;27;Perempuan;Pegawai Kantor;Weekday;Fitting;Elektronik;2;Pcs;Visalux;10.000;20.000
07-Jan-25;Rahmat;37;Laki-laki;Karyawan Swasta;Weekday;Batu Asah ;Peralatan Dapur;1;Pcs;Jaya Mata;50.000;50.000
07-Jan-25;Bambang;43;Laki-laki;Pekerja Pabrik;Weekday;Evamatic;Perkakas;6;Pcs;Tidak Ada Merk;20.000;120.000
07-Jan-25;Yulianto;35;Laki-laki;Teknisi;Weekday;Kabel;Elektronik;5;Pcs;Tonn;5.000;25.000
07-Jan-25;Ridwan;40;Laki-laki;Pekerja Pabrik;Weekday;Jepitan Baju;Perlengkapan Rumah;6;Pcs;Lion Star;15.000;90.000
07-Jan-25;Yusuf;37;Laki-laki;Karyawan Swasta;Weekday;Kuningan Kompor;Peralatan Dapur;2;Pcs;rinnai;20.000;40.000
07-Jan-25;Ardi;32;Laki-laki;Karyawan Swasta;Weekday;Pisau ;Peralatan Dapur;2;Pcs;Dong Fang;15.000;30.000
07-Jan-25;Budi;45;Laki-laki;Pekerja Pabrik;Weekday;Pot;Perlengkapan Rumah;3;Pcs;Mio;25.000;75.000
07-Jan-25;William;42;Laki-laki;Pekerja Pabrik;Weekday;Sapu;Perlengkapan Rumah;4;Pcs;Tidak Ada Merk;20.000;80.000
07-Jan-25;Irfan;35;Laki-laki;Karyawan Swasta;Weekday;Sapu ;Peralatan Dapur;2;Pcs;Dato;30.000;60.000
07-Jan-25;Ardi;42;Laki-laki;Pekerja Pabrik;Weekday;Sekam;Perlengkapan Rumah;12;Pcs;Tidak Ada Merk;10.000;120.000
07-Jan-25;Rizky;32;Laki-laki;Teknisi;Weekday;Plug;Elektronik;2;Pcs;Visalux;20.000;40.000
07-Jan-25;Nina;40;Perempuan;Ibu Rumah Tangga;Weekday;Skop ;Perkakas;2;Pcs;Klintex;15.000;30.000
07-Jan-25;Eko;35;Laki-laki;Teknisi;Weekday;Socket ;Elektronik;1;Pcs;Visalux;30.000;30.000
07-Jan-25;Yusuf;37;Laki-laki;Karyawan Swasta;Weekday;Sendok;Peralatan Dapur;3;Lusin;HS;10.000;30.000
07-Jan-25;Hendra;38;Laki-laki;Karyawan Swasta;Weekday;Sendok;Peralatan Dapur;2;Lusin;XP;15.000;30.000
07-Jan-25;Bayu;40;Laki-laki;Karyawan Swasta;Weekday;Solet Karet;Peralatan Dapur;1;Pcs;Tidak Ada Merk;15.000;15.000
07-Jan-25;Bayu;40;Laki-laki;Karyawan Swasta;Weekday;Toples;Peralatan Dapur;3;Pcs;Tidak Ada Merk;10.000;30.000
07-Jan-25;Nur;42;Perempuan;Pekerja Pabrik;Weekday;Sekam;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;10000;10000
07-Jan-25;Surya;45;Laki-laki;Pekerja Pabrik;Weekday;Toples;Peralatan Dapur;3;Pcs;Tidak Ada Merk;4000;120000
07-Jan-25;Gilang;21;Laki-laki;Pelajar/Mahasiswa;Weekday;Skop;Peralatan Dapur;2;Pcs;Klintex;15000;30000
07-Jan-25;Yanti;38;Perempuan;Karyawan Swasta;Weekday;Solet;Peralatan Dapur;1;Pcs;Tidak Ada Merk;5000;5000
07-Jan-25;Agus;25;Laki-laki;Pegawai Kantor;Weekday;Sendok;Peralatan Dapur;2;Pcs;XP;2000;4000
07-Jan-25;Fauzan;30;Laki-laki;Supir/Ojek Online;Weekday;Fitting;Elektronik;2;Pcs;Visalux;4000;8000
07-Jan-25;Nina;21;Perempuan;Pelajar/Mahasiswa;Weekday;Pot;Perlengkapan Rumah;2;Pcs;Mio;8000;16000
07-Jan-25;Rahmat;34;Laki-laki;Supir/Ojek Online;Weekday;Sapu;Peralatan Dapur;1;Pcs;Dato;45000;45000
07-Jan-25;Hendra;38;Laki-laki;Karyawan Swasta;Weekday;Sapu;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;13000;13000
07-Jan-25;Dani;37;Laki-laki;Karyawan Swasta;Weekday;Evamatic;Perlengkapan Rumah;1;Pcs;Tidak Ada Merk;20000;20000
